"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","270","cy.request() - verify response using BDD syntax","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","92","cy.fixture() or require - load a fixture","Files","2026-08-04","passed","2026-08-04","","","",""
"","380",".submit() - submit a form","Actions","2026-08-04","passed","2026-08-04","","","",""
"","243",".each() - iterate over an array of elements","Connectors","2026-08-04","passed","2026-08-04","","","",""
"","86","Control what is printed to the Command Log","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.log","",""
"","192","Cypress.$ - call a jQuery method","Utilities","2026-08-04","passed","2026-08-04","","","",""
"","90","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-08-04","passed","2026-08-04","","","",""
"","105","pass your own callback function to should()","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","96",".parents() - get parent DOM elements from DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","91","yields the original subject without return","Connectors","2026-08-04","passed","2026-08-04","",".then()","",""
"","173","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","222","cy.window() - get the global window object","Window","2026-08-04","passed","2026-08-04","","","",""
"","88",".prev() - get previous sibling DOM element","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","456","displays two todo items by default","example to-do app","2026-08-04","passed","2026-08-04","","","",""
"","110","Get and set configuration options","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.config()","",""
"","91","can throw any error","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","114",".find() - get descendant DOM elements of the selector","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","125",".trigger() - trigger an event on a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","106","invokes a callback function with the current subject","Connectors","2026-08-04","passed","2026-08-04","",".then()","",""
"","87",".prevAll() - get all previous sibling DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","113","cy.readFile() - read file contents","Files","2026-08-04","passed","2026-08-04","","","",""
"","290","cy.focused() - get the DOM element that has focus","Misc","2026-08-04","passed","2026-08-04","","","",""
"","95","cy.root() - query the root DOM element","Querying","2026-08-04","passed","2026-08-04","","","",""
"","196",".rightclick() - right click on a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","103",".its() - get properties on the current subject","Connectors","2026-08-04","passed","2026-08-04","","","",""
"","196","cy.writeFile() - write to a file","Files","2026-08-04","passed","2026-08-04","","","",""
"","334","Cypress._ - call a lodash method","Utilities","2026-08-04","passed","2026-08-04","","","",""
"","4444","cy.wait() - wait for a specific amount of time","Waiting","2026-08-04","passed","2026-08-04","","","",""
"","97",".invoke() - invoke a function on the current subject","Connectors","2026-08-04","passed","2026-08-04","","","",""
"","101","finds element by class name regex","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","178","cy.request() with query parameters","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","93",".within() - query DOM elements within a specific element","Querying","2026-08-04","passed","2026-08-04","","","",""
"","168","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-08-04","passed","2026-08-04","","","",""
"","382",".blur() - blur off a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","871",".select() - select an option in a <select> element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","82","Get current spec information","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.spec","",""
"","177","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","256","can filter for uncompleted tasks","example to-do app","2026-08-04","passed","2026-08-04","","with a checked task","",""
"","771",".uncheck() - uncheck a checkbox element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","82","Get current version of Cypress being run","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.version","",""
"","181","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-08-04","passed","2026-08-04","","","",""
"","88","cy.wrap() - wrap an object","Misc","2026-08-04","passed","2026-08-04","","","",""
"","88",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","497","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-08-04","passed","2026-08-04","","","",""
"","124",".focus() - focus on a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","106",".closest() - get closest ancestor DOM element","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","87","yields the value yielded by the last Cypress command inside","Connectors","2026-08-04","passed","2026-08-04","",".then()","",""
"","105","cy.location() - get window.location","Location","2026-08-04","passed","2026-08-04","","","",""
"","410","can add new todo items","example to-do app","2026-08-04","passed","2026-08-04","","","",""
"","2787","cy.viewport() - set the viewport size and dimension","Viewport","2026-08-04","passed","2026-08-04","","","",""
"","218","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","98",".nextAll() - get all next sibling DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","111",".eq() - get a DOM element at a specific index","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","336","cy.visit() - visit a remote url","Navigation","2026-08-04","passed","2026-08-04","","","",""
"","115",".and() - chain multiple assertions together","Assertions","2026-08-04","passed","2026-08-04","","Implicit Assertions","",""
"","186",".dblclick() - double click on a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","366","cy.fixture() - load a fixture","Files","2026-08-04","passed","2026-08-04","","","",""
"","602","best practices - selecting elements","Querying","2026-08-04","passed","2026-08-04","","","",""
"","84","assert - assert shape of an object","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","130","cy.getAllCookies() - get all browser cookies","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","104","Get CPU architecture name of underlying OS","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.arch","",""
"","94","expect - make an assertion about a specified subject","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","85","cy.url() - get the current URL","Location","2026-08-04","passed","2026-08-04","","","",""
"","184","can check off an item as completed","example to-do app","2026-08-04","passed","2026-08-04","","","",""
"","1586","retries the should callback until assertions pass","Assertions","2026-08-04","passed","2026-08-04","","Explicit Assertions","",""
"","241",".children() - get child DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","172","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-08-04","passed","2026-08-04","","","",""
"","91","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-08-04","passed","2026-08-04","","Cypress.Screenshot","",""
"","2133","cy.scrollTo() - scroll the window or element to a position","Actions","2026-08-04","passed","2026-08-04","","","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-08-04","passed","2026-08-04","","","",""
"","93",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","475",".clear() - clears an input or textarea element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","900","cy.go() - go back or forward in the browser's history","Navigation","2026-08-04","passed","2026-08-04","","","",""
"","164","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-08-04","passed","2026-08-04","","","",""
"","84",".siblings() - get all sibling DOM elements","Traversal","2026-08-04","passed","2026-08-04","","","",""
"","244","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-08-04","passed","2026-08-04","","","",""
"","91","yields the returned value to the next command","Connectors","2026-08-04","passed","2026-08-04","",".then()","",""
"","90",".spread() - spread an array as individual args to callback function","Connectors","2026-08-04","passed","2026-08-04","","","",""
"","1880",".click() - click on a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","337","cy.getCookie() - get a browser cookie","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","93","cy.document() - get the document object","Window","2026-08-04","passed","2026-08-04","","","",""
"","296","cy.request() - pass result to the second request","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","140",".debug() - enable or disable debugging","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.Cookies","",""
"","897","cy.exec() - execute a system command","Misc","2026-08-04","passed","2026-08-04","","","",""
"","236",".add() - create a custom command","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.Commands","",""
"","121",".scrollIntoView() - scroll an element into view","Actions","2026-08-04","passed","2026-08-04","","","",""
"","292","cy.get() - query DOM elements","Querying","2026-08-04","passed","2026-08-04","","","",""
"","83","cy.title() - get the title","Window","2026-08-04","passed","2026-08-04","","","",""
"","79","Get environment variables","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.env()","",""
"","375","cy.reload() - reload the page","Navigation","2026-08-04","passed","2026-08-04","","","",""
"","383",".as() - alias a DOM element for later use","Aliasing","2026-08-04","passed","2026-08-04","","","",""
"","253","cy.wait() - wait for a specific route","Waiting","2026-08-04","passed","2026-08-04","","","",""
"","430","cy.intercept() - route responses to matching requests","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","253","cy.request() - save response in the shared test context","Network Requests","2026-08-04","passed","2026-08-04","","","",""
"","839","cy.screenshot() - take a screenshot","Misc","2026-08-04","passed","2026-08-04","","Cypress.Screenshot","",""
"","119","cy.contains() - query DOM elements with matching content","Querying","2026-08-04","passed","2026-08-04","","","",""
"","117",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-08-04","passed","2026-08-04","","Cypress.dom","",""
"","116","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-08-04","passed","2026-08-04","","","",""
"","3613",".type() - type into a DOM element","Actions","2026-08-04","passed","2026-08-04","","","",""
"","92",".filter() - get DOM elements that match the selector","Traversal","2026-08-04","passed","2026-08-04","","","",""
